Date,ShareLink,ShareCommentary,idea
2025-05-20 14:12:11,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7330596205883727874,"LLM capabilities are doubling every 7 months…""
""""
""Here’s the most important LLM benchmark I’ve come across 👇 ""
""""
""A couple of months ago, the team at METR released a new AI benchmark.""
""""
""Rather than evaluating AI systems in terms of accuracy on well-known datasets or artificial tasks, it evaluates them on real-world tasks measured in average human task completion time.""
""""
""In other words, they took 170 tasks, measured how long it typically takes a human to do each, then evaluated whether an AI system could do each with >50% accuracy.""
""""
""Current models can easily handle “1-hour tasks,” e.g. write simple ETL scripts, set up a software package.""
""""
""However, the most notable finding was that these capabilities have been accelerating over the past 6 years, approximately doubling every 7 months.""
""""
""Extrapolating out, this means that models will be able to do…""
""… 1-day tasks in 2026""
""… 1-week tasks in 2027""
""… 1-month tasks in 2029 😳 ""
""""
""It’s hard to imagine what the consequences will be if LLMs can do a month’s worth of work!""
""""
""What do you think 2029 will look like?""
""""
""--""
""♻️ If you liked this post, repost it!",METR benchmark. Extrapolation
2025-05-19 20:10:49,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7330324070380511232,"The greatest gap I see in AI today is a lack of resources on LLM fine-tuning.""
""""
""I've been considering one way to help close that gap...""
""""
""I'm thinking about launching a 4- to 6-week program on fine-tuning LLMs.""
""""
""If you are interested in this, I'd love to get your feedback on the course content and format.""
""""
""👉 You can share your thoughts in this short survey: https://lnkd.in/g4akWbyq""
""""
""P.S. As a thank you, you will get first access to the program and a generous founder's discount :)",Share LLM fine-tuning bootcamp Survey
2025-05-19 14:39:24,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7330240666570031106,"7 Basic AI Terms (Simply) Explained…""
""""
""1) Large Language Model (LLM)""
"" = Software that can perform arbitrary tasks via natural language.""
""""
""When people talk about AI today, they are typically talking about LLMs.""
""""
""2) Prompt""
"" = The request you pass to an LLM""
""""
""This is the mechanism for using LLMs.""
""""
""3) Prompt engineering""
""= Crafting your prompt to optimize task performance""
""""
""While most tasks can be completed by simply asking, there are a few key tricks for making specific tasks better and more reliable.""
""""
""4) Inference""
""= Using an LLM to generate text""
""""
""This is like the autocomplete on your phone, but very powerful and on repeat.""
""""
""5) Token ""
""= A unit of text that an LLM can understand""
""""
""We see text as words and characters. LLMs see them as tokens e.g. ""Here"", "" are"", "" some"", "" examples"", "" of"", "" tokens!""""
""""
""6) Context Window""
""= The maximum amount of text an LLM can process""
""""
""For modern LLMs, this is about ~100k words (i.e. the length of a typical book).""
""""
""7) Parameters""
""= Numbers that determine what the LLM generates given the input""
""""
""""Small"" LLMs have around 1B of these numbers. Bigger ones will have 100B+""
""""
""""
""What are some other basic terms that I should add?""
""""
""--""
""♻️ If you liked this post, repost it!""
""",7 Basic AI Terms (Simply) Explained…
2025-05-17 16:33:56,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7329544712829186048,Thanks for the shoutout Rami!,
2025-05-16 13:22:43,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7329134204208795648,"ML Foundations for AI Engineers (part 5/5)""
""""
""What is Reinforcement Learning (RL)?""
""""
""The most common type of machine learning is supervised learning, which involves programming computers by example.""
""""
""However, this is not the only way computers can learn about the world… ""
""""
""... they can also interact with it.""
""""
""This is how RL works, which allows computers to learn through trial and error.""
""""
""The promise of RL is that models are not bound by human labelling or expertise.""
""""
""A landmark example is AlphaGo, a deep neural network trained via RL to play the game of Go, and eventually surpassed human grandmaster performance.""
""""
""Today, RL may be the key to more powerful AI agents, enabling systems to go beyond existing human knowledge and make novel discoveries 🧑‍🔬 ""
""""
""""
""That ends my short series on ML Foundations for AI Engineers. If you want to learn more, check out my blog post on Medium: https://lnkd.in/g7Ux7bSr""
""""
""--""
""♻️ If this post was helpful, repost it!",ML For AI Engineers (5/5) What is Reinforcement Learning (RL)?
2025-05-15 18:21:53,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7328847103902867457,"The best part of running a community for tech entrepreneurs is doing impromptu meet-ups every time I travel :P""
""""
""Last weekend, I was in Houston and had the chance to connect with some internet friends in the flesh.""
""""
""A huge thanks to Shivkumar, Rod, and Emmanuel for making it out!""
""""
""I’ll be in Europe this Summer...""
""""
""Where should I host the next ones?",Share Houston Meet-up
2025-05-15 12:06:22,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7328752602198827008,"ML Foundations for AI Engineers (part 4/5)""
""""
""What is Deep Learning?""
""""
""Although the traditional ML techniques can perform a wide range of tasks, picking the right “features” (i.e. inputs) for these models requires domain expertise.""
""""
""Deep Learning (DL), on the other hand, doesn’t have the same requirement.""
""""
""DL involves training neural nets that learn optimal features for an arbitrary task.""
""""
""💡 The key intuition of deep learning is that layers in a neural net build upon previous ones to derive increasingly complex (and helpful) features for performing the given task.""
""""
""This means we can trade the need for domain expertise for more data when developing a model 🧠 → 💿""
""""
""""
""Stay tuned for tomorrow’s post, where I’ll discuss how reinforcement learning works...""
""""
""... or read you can the full blog post today: https://lnkd.in/g7Ux7bSr""
""""
""--""
""♻️ If this post was helpful, repost it!",ML For AI Engineers (4/5) What is Deep Learning (DL)?
2025-05-14 18:36:06,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7328488297373007872,"Honored to be part of Maven's new ""Building AI-native Products"" feature :)",
2025-05-14 16:31:03,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7328456826277060608,"The problem with learning AI today isn’t a lack of information…""
""""
""... it’s information overload.""
""""
""Without a solid foundation, it’s easy to get lost in the noise.""
""""
""This Friday (May 16) I’m hosting a free workshop on Maven covering the AI essentials entrepreneurs need to know.""
""""
""Here’s what you can expect to get from the session 👇 ""
""""
""📌 Gain a mental framework for organizing key AI concepts""
""📌 Speak about AI with customers and developers like a pro""
""📌 Focus on the right AI technologies""
""""
""👉 Register here: https://lnkd.in/g6YrARwn""
""""
""--""
""P.S. If you can't make it, still feel free to sign up to get access to the recording (and a special surprise for the upcoming AI Builders Bootcamp) 😁",Share LL Friday: AI essentials for entrepreneurs
2025-05-14 13:39:41,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7328413697888935938,"ML Foundations for AI Engineers (part 3/5)""
""""
""Machine learning (ML) allows computers to learn tasks directly from data.""
""""
""This is the foundation for GenAI, LLMs, and Deep Learning.""
""""
""It consists of two key phases 👇""
""""
""Phase 1: Training""
""""
""Training is where a model is learned through curated examples.""
""""
""This consists of choosing parameters that minimize the discrepancy between our model’s predictions and reality.""
""""
""Phase 2: Inference""
""""
""Inference involves applying a model to new data to make predictions.""
""""
""This could be predicting tomorrow’s temperature, detecting objects in an image, or generating landing page copy.""
""""
""""
""Stay tuned for tomorrow’s post, where I’ll discuss a special type of ML called Deep Learning (DL)...""
""""
""... or read you can the full blog post: https://lnkd.in/g7Ux7bSr""
""""
""--""
""♻️ If this post was helpful, repost it!","ML Foundations for AI Engineers (part 3/5). Machine learning (ML)
"
2025-05-13 13:48:51,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7328053616244654080,"ML Foundations for AI Engineers (part 2/5)""
""""
""But, how can computers develop a model of the world? 🤔""
""""
""In traditional software, computers are given explicit instructions for doing a task.""
""""
""In other words, human programmers use their intelligence to define rules and algorithms that computers can execute to produce a desired outcome.""
""""
""Machine learning (ML), on the other hand, doesn’t work like this. Instead, it relies on a developer’s ability to curate high-quality examples from which the computer can learn.""
""""
""This gives rise to 3 key ways computers can learn about the world 👇 ""
""""
""1. Machine Learning = programming computers with examples""
""2. Deep Learning = neural nets learn features and mappings from raw data""
""3. Reinforcement Learning = computers learn through trial and error""
""""
""""
""Stay tuned for tomorrow’s post, where I’ll discuss how ML works...""
""""
""... or read you can the full blog post: https://lnkd.in/g7Ux7bSr""
""""
""--""
""♻️ If this post was helpful, repost it!","ML Foundations for AI Engineers (part 2/5). But, how can computers develop a model of the world? 🤔
"
2025-05-12 21:18:09,https://www.linkedin.com/feed/update/urn%3Ali%3Ashare%3A7327804300489826306,"I vibe-coded this Streamlit dashboard.""
""""
""But here’s the truth…""
""""
""The less experience you have, the more technical debt you accumulate when vibe coding.""
""""
""Managing this debt as an engineer is just like managing financial debt as an entrepreneur.""
""""
""It helps you move fast, but if you are new to an industry or business, scaling quickly may not be a good thing.""
""""
""Keep that in mind when deciding how and when you code with AI.""
""""
""--""
""P.S. In a recent YouTube video, I show how I vibe code with Cursor by building this Upwork job dashboard from scratch.""
""""
""👉 Check it out here: https://lnkd.in/gfFKG9KU",Demo Upwork Job Dashboard. Share YouTube video.
